symbol,name,currency,summary,category_group,category,family,exchange
^PSCF,INVESCO EXCH TRDII,USD,"The Invesco S&P SmallCap Financials ETF tracks the performance of small-capitalization U.S. companies in the financials sector, as defined by the Global Industry Classification Standard (GICS). The fund invests in companies involved in banking, insurance, asset management, and other financial services. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Financials,Small Cap,Invesco Investment Management,NIM
^PSCI,INVESCO EXCH TRDII,USD,"The Invesco S&P SmallCap Industrials ETF tracks the performance of small-capitalization U.S. companies in the industrials sector, as defined by the Global Industry Classification Standard (GICS). It includes companies involved in aerospace and defense, construction, engineering, and manufacturing. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Industrials,Small Cap,Invesco Investment Management,NIM
^PSCT,INVESCO EXCH TRDII,USD,"The Invesco S&P SmallCap Information Technology ETF tracks the performance of small-capitalization U.S. companies in the information technology sector, as defined by the Global Industry Classification Standard (GICS). The fund includes companies involved in software, hardware, semiconductors, and IT services. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Information Technology,Small Cap,Invesco Investment Management,NIM
^PSCU,INVESCO EXCH TRDII,USD,"The Invesco S&P SmallCap Utilities ETF tracks the performance of small-capitalization U.S. companies in the utilities sector, as defined by the Global Industry Classification Standard (GICS). It includes companies that provide electricity, gas, and water services. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Utilities,Small Cap,Invesco Investment Management,NIM
^QABA,FIRST TR NSQ ABA F,USD,,,,First Trust Advisors,NIM
^REIT,ALPS ETF TRUST,USD,"The ALPS Active REIT ETF is an actively managed ETF focused on investing in publicly traded real estate investment trusts (REITs). It aims to provide investors with exposure to the real estate sector through a diversified portfolio of REITs. ALPS is headquartered in Denver, CO.",Real Estate,REITs,,DJI
^SLVO,CREDIT SUISSE NASS,USD,"CREDIT SUISSE NASS is focused on providing investors with access to silver through the use of exchange traded notes. The ETN provides a return linked to the performance of the spot price of silver, less investor fees. Credit Suisse is a global financial services company, headquartered in Zurich, Switzerland.",Commodities,,Credit Suisse Asset Management,NIM
^SPQQ,SIREN ETF TR,USD,,,,,NIM
^UFO,PROCURE ETF TR II,USD,"The Procure Space ETF seeks to track the performance of companies involved in the space industry. This includes companies that manufacture satellites and rockets, provide space-based services, and are involved in the exploration and utilization of space. The ETF allows investors to gain exposure to companies that are expected to benefit from the growing space economy.",Industrials,,,NIM
^USLB,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM
^USOI,CREDIT SUISSE NASS,USD,"CREDIT SUISSE NASS is focused on providing investors with access to crude oil through the use of exchange traded notes. The ETN provides a return linked to the performance of the spot price of oil, less investor fees. Credit Suisse is a global financial services company, headquartered in Zurich, Switzerland.",Commodities,,Credit Suisse Asset Management,NIM
^VCIT,VANGUARD SCOTTSDAL,USD,"The Vanguard Intermediate-Term Corporate Bond ETF seeks to track the performance of a market-weighted corporate bond index with an intermediate-term dollar-weighted average maturity. The ETF invests in investment-grade U.S. corporate bonds and aims to provide current income. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Fixed Income,Corporate Bonds,Vanguard Asset Management,NIM
^VCLT,VANGUARD SCOTTSDAL,USD,"The Vanguard Long-Term Corporate Bond ETF seeks to track the performance of a market-weighted corporate bond index with a long-term dollar-weighted average maturity. The ETF invests in investment-grade U.S. corporate bonds and aims to provide current income. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Fixed Income,Corporate Bonds,Vanguard Asset Management,NIM
^VCSH,VANGUARD SCOTTSDAL,USD,"The Vanguard Short-Term Corporate Bond ETF seeks to track the performance of a market-weighted corporate bond index with a short-term dollar-weighted average maturity. The fund invests in investment-grade U.S. corporate bonds and seeks to provide current income with lower volatility than longer-term bond funds. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Fixed Income,Corporate Bonds,Vanguard Asset Management,NIM
^VGIT,VANGUARD SCOTTSDAL,USD,"The Vanguard Intermediate-Term Treasury ETF seeks to track the performance of a market-weighted index of investment-grade U.S. Treasury bonds with an intermediate-term dollar-weighted average maturity. The ETF provides exposure to U.S. government bonds with maturities between 3 and 10 years. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Fixed Income,Treasury Bonds,Vanguard Asset Management,NIM
^VGLT,VANGUARD SCOTTSDAL,USD,"The Vanguard Long-Term Treasury ETF seeks to track the performance of a market-weighted index of investment-grade U.S. Treasury bonds with a long-term dollar-weighted average maturity. The ETF provides exposure to U.S. government bonds with maturities greater than 10 years. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Fixed Income,Treasury Bonds,Vanguard Asset Management,NIM
^VGSH,VANGUARD SCOTTSDAL,USD,"The Vanguard Short-Term Treasury ETF seeks to track the performance of a market-weighted index of investment-grade U.S. Treasury bonds with a short-term dollar-weighted average maturity. The ETF provides exposure to U.S. government bonds with maturities between 1 and 3 years. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Fixed Income,Treasury Bonds,Vanguard Asset Management,NIM
^VIGI,VANGUARD WHITEHALL,USD,"The Vanguard International Dividend Appreciation ETF seeks to track the performance of an index of international companies that have a history of increasing dividends. It focuses on providing exposure to dividend-paying stocks in developed and emerging markets, excluding the United States. The fund is managed by Vanguard and is headquartered in Whitehall, Pennsylvania.",Financials,Developed Markets,Vanguard Asset Management,NIM
^VMBS,VANGUARD SCOTTSDAL,USD,"The Vanguard Mortgage-Backed Securities ETF seeks to track the performance of a market-weighted index of investment-grade mortgage-backed securities. The fund invests primarily in agency mortgage-backed pass-through certificates guaranteed by Ginnie Mae, Fannie Mae, and Freddie Mac. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Fixed Income,Corporate Bonds,Vanguard Asset Management,NIM
^VONE,VANGUARD SCOTTSDAL,USD,"The Vanguard Russell 1000 ETF seeks to track the performance of the Russell 1000 Index, which represents the largest 1,000 companies in the U.S. equity market. It provides broad exposure to large-cap U.S. stocks, allowing investors to participate in the growth of the overall market. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Financials,Large Cap,Vanguard Asset Management,NIM
^VONG,VANGUARD SCOTTSDAL,USD,"The Vanguard Russell 1000 Growth ETF seeks to track the performance of the Russell 1000 Growth Index, which represents the growth-oriented companies within the Russell 1000 Index. It focuses on providing exposure to large-cap U.S. stocks with higher growth potential. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Financials,Growth,Vanguard Asset Management,NIM
^VONV,VANGUARD SCOTTSDAL,USD,"The Vanguard Russell 1000 Value ETF seeks to track the performance of the Russell 1000 Value Index, which represents the value-oriented companies within the Russell 1000 Index. It focuses on providing exposure to large-cap U.S. stocks that are considered undervalued. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Financials,Value,Vanguard Asset Management,NIM
^VRIG,INVESCO ACTIVELY M,USD,"The Invesco Active Investment Grade Corporate Bond ETF is an actively managed ETF focusing on investment-grade corporate bonds. The fund seeks to outperform its benchmark through active security selection and duration management. Invesco is headquartered in Atlanta, GA.",Fixed Income,Corporate Bonds,Invesco Investment Management,NIM
^VTC,VANGUARD SCOTTSDAL,USD,"The Vanguard Target Retirement 2045 Fund seeks to provide capital appreciation and current income consistent with its current asset allocation. The fund invests in a mix of Vanguard's underlying stock and bond funds, with allocations adjusted over time to become more conservative as the target retirement date approaches. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Financials,Blend,Vanguard Asset Management,NIM
^VTHR,VANGUARD SCOTTSDAL,USD,"The Vanguard Total World Stock ETF seeks to track the performance of the FTSE Global All Cap Index, which represents stocks of large-, mid-, and small-cap companies located in developed and emerging markets. It provides broad exposure to the global stock market, allowing investors to participate in the growth of economies worldwide. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Financials,Developed Markets,Vanguard Asset Management,NIM
^VTIP,VANGUARD MALVERN F,USD,"The Vanguard Short-Term Inflation-Protected Securities ETF seeks to track the performance of a market-weighted index of inflation-protected public obligations of the U.S. government that have a remaining maturity of less than five years. It invests in Treasury Inflation-Protected Securities (TIPS) and provides inflation protection for investors. The fund is managed by Vanguard and is headquartered in Malvern, Pennsylvania.",Fixed Income,Inflation-Protected Securities,Vanguard Asset Management,NIM
^VTWG,VANGUARD SCOTTSDAL,USD,"The Vanguard Russell 2000 Growth ETF seeks to track the performance of the Russell 2000 Growth Index, which represents the growth-oriented companies within the Russell 2000 Index. It focuses on providing exposure to small-cap U.S. stocks with higher growth potential. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Financials,Growth,Vanguard Asset Management,NIM
^VTWO,VANGUARD SCOTTSDAL,USD,"The Vanguard Russell 2000 ETF seeks to track the performance of the Russell 2000 Index, which represents small-cap U.S. companies. It provides broad exposure to the small-cap segment of the U.S. equity market, allowing investors to participate in the growth of smaller, emerging companies. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Financials,Small Cap,Vanguard Asset Management,NIM
^VTWV,VANGUARD SCOTTSDAL,USD,"The Vanguard Russell 2000 Value ETF seeks to track the performance of the Russell 2000 Value Index, which represents the value-oriented companies within the Russell 2000 Index. It focuses on providing exposure to small-cap U.S. stocks that are considered undervalued. The fund is managed by Vanguard and is headquartered in Scottsdale, Arizona.",Financials,Value,Vanguard Asset Management,NIM
^VWOB,VANGUARD WHITEHALL,USD,"The Vanguard Emerging Markets Government Bond ETF seeks to track the performance of a market-weighted index of U.S. dollar-denominated government bonds issued by emerging market countries. It provides exposure to the fixed-income market of developing nations. The fund is managed by Vanguard and is headquartered in Whitehall, Pennsylvania.",Fixed Income,Emerging Markets,Vanguard Asset Management,NIM
^VYMI,VANGUARD WHITEHALL,USD,"The Vanguard International High Dividend Yield ETF seeks to track the performance of an index of international stocks, excluding the U.S., with high dividend yields. It focuses on providing income to investors through a diversified portfolio of dividend-paying stocks in developed and emerging markets. The fund is managed by Vanguard and is headquartered in Whitehall, Pennsylvania.",Financials,Developed Markets,Vanguard Asset Management,NIM
003D.BE,WISDOMTREE EURO HGD EQ.FD,EUR,"The WisdomTree Euro Hedged Equity Fund aims to provide exposure to European equities while hedging against fluctuations between the euro and the U.S. dollar. By hedging the currency risk, the fund seeks to deliver returns more closely aligned with the underlying stock performance. WisdomTree is headquartered in New York, NY.",Financials,Developed Markets,WisdomTree Asset Management,BER
003H.BE,WISDOMTREE EM.CURR.STRAT.,EUR,"The WisdomTree Emerging Markets Currency Strategy Fund seeks to provide exposure to emerging market currencies. The fund uses a rules-based methodology to select and weight currencies based on factors such as interest rate differentials and momentum. WisdomTree is headquartered in New York, NY.",Currencies,Emerging Markets,WisdomTree Asset Management,BER
003I.BE,WISDOMTREE INTL H.Q.D.GR.,EUR,"The WisdomTree International Hedged Quality Dividend Growth Fund aims to provide exposure to dividend-paying companies outside the U.S., while hedging against currency fluctuations. The fund focuses on companies with high quality and dividend growth potential. WisdomTree is headquartered in New York, NY.",Financials,Developed Markets,WisdomTree Asset Management,BER
003K.BE,WISDOMTREE U.S. L.CAP FD,EUR,"The WisdomTree U.S. LargeCap Fund seeks to track the performance of dividend-paying companies in the U.S. large-cap market. The fund uses a dividend-weighting methodology, focusing on companies with strong dividend yields. WisdomTree is headquartered in New York, NY.",Financials,Large Cap,WisdomTree Asset Management,BER
003M.BE,WISDOMTR BLOOM.USD BULL.,EUR,,,,,BER
003U.BE,WISDOMTREE BL.F.R.TREAS.,EUR,,,,,BER
0061.TW,W.I.S.E. Yuanta/P-shares CSI 300 ETF,TWD,"The W.I.S.E. Yuanta/P-shares CSI 300 ETF seeks to track the performance of the CSI 300 Index, which represents the top 300 A-share stocks listed on the Shanghai and Shenzhen stock exchanges. It provides exposure to the largest companies in mainland China's equity market. Yuanta Securities is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Yuanta Securities Investment Trust,TAI
006201.TWO,Yuanta/P-shares Taiwan GreTai 50 ETF,TWD,"The Yuanta/P-shares Taiwan GreTai 50 ETF seeks to track the performance of the Taiwan GreTai 50 Index, which represents the top 50 companies listed on the Taipei Exchange (GreTai Securities Market, GTSM). It provides exposure to emerging and innovative companies in Taiwan. Yuanta Securities is a financial services company headquartered in Taiwan.",Financials,,Yuanta Securities Investment Trust,TWO
006204.TW,Sinopac TAIEX ETF,TWD,"The Sinopac TAIEX ETF seeks to track the performance of the TAIEX (Taiwan Stock Exchange Capitalization Weighted Stock Index). It provides exposure to the overall Taiwanese stock market, reflecting the performance of a broad range of listed companies. Sinopac Securities is a financial services company headquartered in Taiwan.",Financials,,SinoPac Securities Investment Trust,TAI
006205.TW,Fubon SSE180 ETF,TWD,"The Fubon SSE180 ETF seeks to track the performance of the SSE 180 Index, which represents a selection of 180 large-cap and liquid stocks listed on the Shanghai Stock Exchange. It provides exposure to the large-cap segment of the Chinese stock market. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Fubon Securities Investment Trust,TAI
006206.TW,Yuanta/P-shares SSE50 ETF,TWD,"The Yuanta/P-shares SSE50 ETF seeks to track the performance of the SSE 50 Index, which represents the 50 largest and most liquid companies listed on the Shanghai Stock Exchange. It provides exposure to the blue-chip segment of the Chinese stock market. Yuanta Securities is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Yuanta Securities Investment Trust,TAI
006208.TW,Fubon FTSE TWSE Taiwan 50 ETF,TWD,"The investment seeks to track the price and performance yield, before fees and expenses, of the MSCI Taiwan index but it closely track the performance of Taiwan 50 Index (before fees and expenses).
The index uses a weighting factor of the security in the index and applied to the total dividend amount to be reinvested.",Financials,,Fubon Securities Investment Trust,TAI
00625K.TW,Fubon SSE180 ETF,CNY,"The Fubon SSE180 ETF seeks to track the performance of the SSE 180 Index, which represents a selection of 180 large-cap and liquid stocks listed on the Shanghai Stock Exchange. It provides exposure to the large-cap segment of the Chinese stock market. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Fubon Securities Investment Trust,TAI
00633L.TW,Fubon SSE180 Leveraged 2X Index ETF,TWD,"The Fubon SSE180 Leveraged 2X Index ETF seeks to provide twice the daily investment results of the SSE 180 Index. It uses leverage to amplify the returns of the underlying index, both positively and negatively. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Fubon Securities Investment Trust,TAI
00634R.TW,Fubon SSE180 Inversed Index ETF,TWD,"The Fubon SSE180 Inversed Index ETF seeks to provide the inverse of the daily investment results of the SSE 180 Index. It aims to profit from a decline in the underlying index, providing a hedge against market downturns. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Fubon Securities Investment Trust,TAI
00641R.TW,Fubon TOPIX Inverse -1X Index ETF,TWD,"The Fubon TOPIX Inverse -1X Index ETF aims to provide the inverse of the daily performance of the TOPIX (Tokyo Stock Price Index). The fund is designed for investors seeking to profit from, or hedge against, a decline in the Japanese stock market. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,,Fubon Securities Investment Trust,TAI
00651R.TW,Fuh Hwa Daily Hang Seng Inversed ETF,TWD,"The Fuh Hwa Daily Hang Seng Inversed ETF seeks to provide the inverse of the daily investment results of the Hang Seng Index. It aims to profit from a decline in the Hong Kong stock market, providing a hedge against market downturns. Fuh Hwa Securities Investment Trust is a financial services company headquartered in Taiwan.",Financials,,Fuh Hwa Securities Investment Trust,TAI
00656R.TW,Cathay FTSE China A50 Daily Inversed ETF,TWD,"The Cathay FTSE China A50 Daily Inversed ETF seeks to provide the inverse of the daily performance of the FTSE China A50 Index. The fund is designed for investors seeking to profit from, or hedge against, a decline in the Chinese stock market. Cathay Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Emerging Markets,Cathay Securities Investment Trust,TAI
00663L.TW,Cathay TAIEX Daily Leveraged 2X ETF,TWD,"The Cathay TAIEX Daily Leveraged 2X ETF seeks to provide twice the daily investment results of the TAIEX (Taiwan Stock Exchange Capitalization Weighted Stock Index). It uses leverage to amplify the returns of the underlying index, both positively and negatively. Cathay Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,,Cathay Securities Investment Trust,TAI
00664R.TW,Cathay TAIEX Daily Inversed ETF,TWD,"The Cathay TAIEX Daily Inversed ETF seeks to provide the inverse of the daily investment results of the TAIEX (Taiwan Stock Exchange Capitalization Weighted Stock Index). It aims to profit from a decline in the underlying index, providing a hedge against market downturns. Cathay Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,,Cathay Securities Investment Trust,TAI
00668.TW,Cathay DJIA ETF,TWD,"The Cathay DJIA ETF seeks to track the performance of the Dow Jones Industrial Average (DJIA). It provides exposure to the 30 large-cap, blue-chip U.S. companies included in the DJIA. Cathay Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Large Cap,Cathay Securities Investment Trust,TAI
00669R.TW,Cathay DJIA Inv 1X ETF,TWD,"The Cathay DJIA Inv 1X ETF seeks to provide the inverse of the daily performance of the Dow Jones Industrial Average (DJIA). It is designed for investors seeking to profit from, or hedge against, a decline in the U.S. stock market. Cathay Financial Holding Co. is a financial services company headquartered in Taiwan.",Financials,Large Cap,Cathay Securities Investment Trust,TAI
00676R.TW,Fubon TAIEX Daily -1X Inverse ETF,TWD,The Fubon TAIEX Daily -1X Inverse ETF seeks to provide the inverse of the daily performance of the TAIEX (Taiwan Stock Exchange Capitalization Weighted Stock Index). The fund aims to deliver the opposite return of the TAIEX on a daily basis and is designed for investors seeking to hedge their portfolio or profit from short-term market declines. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.,Financials,,Fubon Securities Investment Trust,TAI
00677U.TW,Fubon S&P 500 VIX Short-Term Futures ETF,TWD,The Fubon S&P 500 VIX Short-Term Futures ETF seeks to track the performance of an index comprised of short-term VIX futures contracts. It aims to provide exposure to the implied volatility of the S&P 500 index. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.,Derivatives,,Fubon Securities Investment Trust,TAI
00685L.TW,Capital Taiex Daily Leveraged 2X ETF,TWD,The Capital Taiex Daily Leveraged 2X ETF aims to deliver twice the daily performance of the TAIEX. This leveraged ETF is designed for sophisticated investors seeking to amplify daily returns based on the Taiwan Stock Exchange index. Capital Investment Trust Corp. is headquartered in Taiwan.,Financials,,Capital Investment Trust,TAI
00686R.TW,Capital Taiex Daily Inversed -1X ETF,TWD,"The Capital Taiex Daily Inversed -1X ETF seeks to provide the inverse of the daily performance of the TAIEX (Taiwan Stock Exchange Capitalization Weighted Stock Index). The fund is designed for investors seeking to profit from, or hedge against, a decline in the Taiwanese stock market. Capital Investment Trust Corp. is headquartered in Taiwan.",Financials,,Capital Investment Trust,TAI
00692.TW,Fubon TWSE Corporate Governance 100 ETF,TWD,The Fubon TWSE Corporate Governance 100 ETF tracks the performance of the TWSE Corporate Governance 100 Index. It invests in Taiwanese companies that demonstrate strong corporate governance practices. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.,Financials,,Fubon Securities Investment Trust,TAI
00693U.TW,JKO S&P GSCI Soybeans ER Futures ETF,TWD,"The JKO S&P GSCI Soybeans ER Futures ETF aims to provide exposure to the performance of soybeans futures contracts. The ETF tracks the S&P GSCI Soybeans Enhanced Excess Return Index, offering investors a way to participate in the price movements of soybeans. JKO Securities is a financial services company headquartered in Taiwan.",Commodities,,JKO Asset Management,TAI
00700.TW,Fubon Hang Seng China Enterprises ETF,TWD,The Fubon Hang Seng China Enterprises ETF tracks the performance of the Hang Seng China Enterprises Index. It invests in China-based companies listed on the Hong Kong Stock Exchange. Fubon Financial Holding Co. is a financial services company headquartered in Taiwan.,Financials,Emerging Markets,Fubon Securities Investment Trust,TAI
00701.TW,Cathay TIP TAIEX+ Low Volatility Select 30 ETF,TWD,The Cathay TIP TAIEX+ Low Volatility Select 30 ETF aims to invest in 30 stocks that exhibit low volatility based on the TIP TAIEX+ Low Volatility Select 30 Index. It seeks to provide investors with relatively stable returns compared to the broader market. Cathay Financial Holding Co. is a financial services company headquartered in Taiwan.,Financials,,Cathay Securities Investment Trust,TAI
00703.TW,Taishin MSCI China ETF,TWD,The Taishin MSCI China ETF seeks to track the performance of the MSCI China Index. It provides exposure to large and mid-cap Chinese equities listed on various exchanges around the world. Taishin Securities Investment Trust is a financial services company headquartered in Taiwan.,Financials,Emerging Markets,Taishin Securities Investment Trust,TAI
